base,styled,image
LUKE,Luke Skywalker,LUKE
HAN SOLO,Han Solo,HAN-SOLO
THREEPIO,C-3PO,THREEPIO
OBI WAN,Obi-Wan Kenobi,OBI-WAN
LEIA,Leia Organa,LEIA
DARTH VADER,Darth Vader,DARTH-VADER
RED LEADER,Garven Dreis (Red Leader),RED-LEADER
TROOPER,Stormtrooper,STORMTROOPER
TARKIN,Grand Moff Wilhuff Tarkin,TARKIN
OWEN,Owen Lars,OWEN
IMPERIAL OFFICER,Imperial Officer,IMPERIAL-OFFICER
BIGGS,Biggs Darklighter (Red Three),BIGGS
DEATH STAR INTERCOM,Death Star Intercom,
GOLD LEADER,Jon Vander (Gold Leader),GOLD-LEADER
WEDGE,Wedge Antilles (Red Two),WEDGE
RED TEN,Theron Nett (Red Ten),
BERU,Beru Whitesun,BERU
GOLD FIVE,Davish “Pops” Krail (Gold Five),
DODONNA,Jan Dodonna,DODONNA
GREEDO,Greedo,GREEDO
JABBA,Jabba,JABBA
HUMAN,Doctor Cornelius Evazan,BAR-HUMAN
MASSASSI INTERCOM,Rebel Base Intercom,
MOTTI,Admiral Motti,MOTTI
TAGGE,General Tagge,TAGGE
BARTENDER,Bartender,BARTENDER
CHIEF,Rebel Crew Chief,
GOLD TWO,Dex Tiree (Gold Two),
REBEL OFFICER,Rebel Officer,REBEL-OFFICER
RED NINE,Nozzo Naytaan (Red Nine),
WILLARD,Commander Willard,WILLARD
WINGMAN,Wingman,
BASE COMMUNICATOR,Rebel Base Communicator,
CAPTAIN,Imperial Captain,IMPERIAL-CAPTAIN
CREATURE,Ponda Baba,BAR-CREATURE
OFFICER CASS,Officer Cass,OFFICER-CASS
PORKINS,Porkins,
RED ELEVEN,Ralo Surrel (Red Eleven),
RED SEVEN,Harb Binli (Red Seven),
TECHNICIAN,Rebel Technician,
